data_file,snapshot_date,Customer_ID,loan_id,column_name,original_value,changed_to,rationale
attributes,2024-08-01,CUS_0x1274,,Age,5656,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x1378,,Age,15,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x1a3b,,Age,16,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x2212,,Age,16,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x2509,,Age,15,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x2834,,Age,3640,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x2c15,,Age,17,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x30ee,,Age,16,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x3499,,Age,1388,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x3639,,Age,17,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x393f,,Age,15,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x3c39,,Age,15,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x4ee5,,Age,-500,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x52d2,,Age,15,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x54bd,,Age,2672,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x6086,,Age,15,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x6579,,Age,16,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x682e,,Age,8125,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x77ff,,Age,17,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x7808,,Age,16,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x8062,,Age,-500,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x815,,Age,3441,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x8985,,Age,2598,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x9017,,Age,16_,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x958f,,Age,15,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0x978b,,Age,17,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0xac3f,,Age,17,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0xb125,,Age,3856,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0xb5aa,,Age,16,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0xbeca,,Age,8467,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-08-01,CUS_0xc0d7,,Age,-500,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-02-01,CUS_0x1fa5,,Age,15,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-02-01,CUS_0x2438,,Age,1814,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-02-01,CUS_0x26ff,,Age,16,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-02-01,CUS_0x2daf,,Age,14,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-02-01,CUS_0x2ffe,,Age,3834_,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-02-01,CUS_0x3dd5,,Age,15,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-02-01,CUS_0x3e57,,Age,15,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-02-01,CUS_0x4d19,,Age,15,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-02-01,CUS_0x562f,,Age,-500,NULL,Set to null because Age is outside the valid 18-100 range.
attributes,2024-02-01,CUS_0x5fe3,,Age,15,NULL,Set to null because Age is outside the valid 18-100 range.
